Row ID,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order_Date,new_ship,Year,Month,Day
20,CA-2014-143336,second class,ZD-21925,zuschuss donatelli,consumer,united states,san francisco,california,94109,west,TEC-PH-10001949,technology,phones,cisco spa 501g ip phone,213.48,3,0.2,16.011,27-08-2014,01-09-2014,2014,8,27
21,CA-2014-143336,second class,ZD-21925,zuschuss donatelli,consumer,united states,san francisco,california,94109,west,OFF-BI-10002215,office supplies,binders,"wilson jones hanging view binder, white, 1""",22.72,4,0.2,7.384,27-08-2014,01-09-2014,2014,8,27
22,CA-2016-137330,standard class,KB-16585,ken black,corporate,united states,fremont,nebraska,68025,central,OFF-AR-10000246,office supplies,art,newell 318,19.46,7,0,5.0596,09-12-2016,13-12-2016,2016,12,9
23,CA-2016-137330,standard class,KB-16585,ken black,corporate,united states,fremont,nebraska,68025,central,OFF-AP-10001492,office supplies,appliances,"acco six-outlet power strip, 4' cord length",60.34,7,0,15.6884,09-12-2016,13-12-2016,2016,12,9
24,US-2017-156909,second class,SF-20065,sandra flanagan,consumer,united states,philadelphia,pennsylvania,19140,east,FUR-CH-10002774,furniture,chairs,"global deluxe stacking chair, gray",71.372,2,0.3,-1.0196,16-07-2017,18-07-2017,2017,7,16
25,CA-2015-106320,standard class,EB-13870,emily burns,consumer,united states,orem,utah,84057,west,FUR-TA-10000577,furniture,tables,bretford cr4500 series slim rectangular table,1044.63,3,0,240.2649,25-09-2015,30-09-2015,2015,9,25
26,CA-2016-121755,second class,EH-13945,eric hoffmann,consumer,united states,los angeles,california,90049,west,OFF-BI-10001634,office supplies,binders,wilson jones active use binders,11.648,2,0.2,4.2224,16-01-2016,20-01-2016,2016,1,16
27,CA-2016-121755,second class,EH-13945,eric hoffmann,consumer,united states,los angeles,california,90049,west,TEC-AC-10003027,technology,accessories,imation 8gb mini traveldrive usb 2.0 flash drive,90.57,3,0,11.7741,16-01-2016,20-01-2016,2016,1,16
28,US-2015-150630,standard class,TB-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,FUR-BO-10004834,furniture,bookcases,"riverside palais royal lawyers bookcase, royale cherry finish",3083.43,7,0.5,-1665.0522,17-09-2015,21-09-2015,2015,9,17
29,US-2015-150630,standard class,TB-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,OFF-BI-10000474,office supplies,binders,avery recycled flexi-view covers for binding systems,9.618,2,0.7,-7.0532,17-09-2015,21-09-2015,2015,9,17
30,US-2015-150630,standard class,TB-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,FUR-FU-10004848,furniture,furnishings,"howard miller 13-3/4"" diameter brushed chrome round wall clock",124.2,3,0.2,15.525,17-09-2015,21-09-2015,2015,9,17
31,US-2015-150630,standard class,TB-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,OFF-EN-10001509,office supplies,envelopes,poly string tie envelopes,3.264,2,0.2,1.1016,17-09-2015,21-09-2015,2015,9,17
32,US-2015-150630,standard class,TB-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,OFF-AR-10004042,office supplies,art,"boston model 1800 electric pencil sharpeners, putty/woodgrain",86.304,6,0.2,9.7092,17-09-2015,21-09-2015,2015,9,17
33,US-2015-150630,standard class,TB-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,OFF-BI-10001525,office supplies,binders,"acco pressboard covers with storage hooks, 14 7/8"" x 11"", executive red",6.858,6,0.7,-5.715,17-09-2015,21-09-2015,2015,9,17
34,US-2015-150630,standard class,TB-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,OFF-AR-10001683,office supplies,art,lumber crayons,15.76,2,0.2,3.546,17-09-2015,21-09-2015,2015,9,17
35,CA-2017-107727,second class,MA-17560,matt abelman,home office,united states,houston,texas,77095,central,OFF-PA-10000249,office supplies,paper,easy-staple paper,29.472,3,0.2,9.9468,19-10-2017,23-10-2017,2017,10,19
36,CA-2016-117590,first class,GH-14485,gene hale,corporate,united states,richardson,texas,75080,central,TEC-PH-10004977,technology,phones,ge 30524ee4,1097.544,7,0.2,123.4737,08-12-2016,10-12-2016,2016,12,8
37,CA-2016-117590,first class,GH-14485,gene hale,corporate,united states,richardson,texas,75080,central,FUR-FU-10003664,furniture,furnishings,"electrix architect's clamp-on swing arm lamp, black",190.92,5,0.6,-147.963,08-12-2016,10-12-2016,2016,12,8
38,CA-2015-117415,standard class,SN-20710,steve nguyen,home office,united states,houston,texas,77041,central,OFF-EN-10002986,office supplies,envelopes,"#10-4 1/8"" x 9 1/2"" premium diagonal seam envelopes",113.328,9,0.2,35.415,27-12-2015,31-12-2015,2015,12,27
39,CA-2015-117415,standard class,SN-20710,steve nguyen,home office,united states,houston,texas,77041,central,FUR-BO-10002545,furniture,bookcases,"atlantic metals mobile 3-shelf bookcases, custom colors",532.3992,3,0.32,-46.9764,27-12-2015,31-12-2015,2015,12,27
40,CA-2015-117415,standard class,SN-20710,steve nguyen,home office,united states,houston,texas,77041,central,FUR-CH-10004218,furniture,chairs,"global fabric manager's chair, dark gray",212.058,3,0.3,-15.147,27-12-2015,31-12-2015,2015,12,27
41,CA-2015-117415,standard class,SN-20710,steve nguyen,home office,united states,houston,texas,77041,central,TEC-PH-10000486,technology,phones,plantronics hl10 handset lifter,371.168,4,0.2,41.7564,27-12-2015,31-12-2015,2015,12,27
42,CA-2017-120999,standard class,LC-16930,linda cazamias,corporate,united states,naperville,illinois,60540,central,TEC-PH-10004093,technology,phones,panasonic kx-ts550,147.168,4,0.2,16.5564,10-09-2017,15-09-2017,2017,9,10
43,CA-2016-101343,standard class,RA-19885,ruben ausman,corporate,united states,los angeles,california,90049,west,OFF-ST-10003479,office supplies,storage,"eldon base for stackable storage shelf, platinum",77.88,2,0,3.894,17-07-2016,22-07-2016,2016,7,17
44,CA-2017-139619,standard class,ES-14080,erin smith,corporate,united states,melbourne,florida,32935,south,OFF-ST-10003282,office supplies,storage,"advantus 10-drawer portable organizer, chrome metal frame, smoke drawers",95.616,2,0.2,9.5616,19-09-2017,23-09-2017,2017,9,19
45,CA-2016-118255,first class,ON-18715,odella nelson,corporate,united states,eagan,minnesota,55122,central,TEC-AC-10000171,technology,accessories,"verbatim 25 gb 6x blu-ray single layer recordable disc, 25/pack",45.98,2,0,19.7714,11-03-2016,13-03-2016,2016,3,11
46,CA-2016-118255,first class,ON-18715,odella nelson,corporate,united states,eagan,minnesota,55122,central,OFF-BI-10003291,office supplies,binders,wilson jones leather-like binders with dubllock round rings,17.46,2,0,8.2062,11-03-2016,13-03-2016,2016,3,11
47,CA-2014-146703,second class,PO-18865,patrick o'donnell,consumer,united states,westland,michigan,48185,central,OFF-ST-10001713,office supplies,storage,"gould plastics 9-pocket panel bin, 18-3/8w x 5-1/4d x 20-1/2h, black",211.96,4,0,8.4784,20-10-2014,25-10-2014,2014,10,20
48,CA-2016-169194,standard class,LH-16900,lena hernandez,consumer,united states,dover,delaware,19901,east,TEC-AC-10002167,technology,accessories,imation 8gb micro traveldrive usb 2.0 flash drive,45,3,0,4.95,20-06-2016,25-06-2016,2016,6,20
49,CA-2016-169194,standard class,LH-16900,lena hernandez,consumer,united states,dover,delaware,19901,east,TEC-PH-10003988,technology,phones,"lf elite 3d dazzle designer hard case cover, lf stylus pen and wiper for apple iphone 5c mini lite",21.8,2,0,6.104,20-06-2016,25-06-2016,2016,6,20
50,CA-2015-115742,standard class,DP-13000,darren powers,consumer,united states,new albany,indiana,47150,central,OFF-BI-10004410,office supplies,binders,"c-line peel & stick add-on filing pockets, 8-3/4 x 5-1/8, 10/pack",38.22,6,0,17.9634,18-04-2015,22-04-2015,2015,4,18
51,CA-2015-115742,standard class,DP-13000,darren powers,consumer,united states,new albany,indiana,47150,central,OFF-LA-10002762,office supplies,labels,avery 485,75.18,6,0,35.3346,18-04-2015,22-04-2015,2015,4,18
52,CA-2015-115742,standard class,DP-13000,darren powers,consumer,united states,new albany,indiana,47150,central,FUR-FU-10001706,furniture,furnishings,longer-life soft white bulbs,6.16,2,0,2.9568,18-04-2015,22-04-2015,2015,4,18
53,CA-2015-115742,standard class,DP-13000,darren powers,consumer,united states,new albany,indiana,47150,central,FUR-CH-10003061,furniture,chairs,"global leather task chair, black",89.99,1,0,17.0981,18-04-2015,22-04-2015,2015,4,18
54,CA-2016-105816,standard class,JM-15265,janet molinari,corporate,united states,new york city,new york,10024,east,OFF-FA-10000304,office supplies,fasteners,advantus push pins,15.26,7,0,6.2566,11-12-2016,17-12-2016,2016,12,11
55,CA-2016-105816,standard class,JM-15265,janet molinari,corporate,united states,new york city,new york,10024,east,TEC-PH-10002447,technology,phones,at&t cl83451 4-handset telephone,1029.95,5,0,298.6855,11-12-2016,17-12-2016,2016,12,11
56,CA-2016-111682,first class,TB-21055,ted butterfield,consumer,united states,troy,new york,12180,east,OFF-ST-10000604,office supplies,storage,home/office personal file carts,208.56,6,0,52.14,17-06-2016,18-06-2016,2016,6,17
57,CA-2016-111682,first class,TB-21055,ted butterfield,consumer,united states,troy,new york,12180,east,OFF-PA-10001569,office supplies,paper,xerox 232,32.4,5,0,15.552,17-06-2016,18-06-2016,2016,6,17
58,CA-2016-111682,first class,TB-21055,ted butterfield,consumer,united states,troy,new york,12180,east,FUR-CH-10003968,furniture,chairs,novimex turbo task chair,319.41,5,0.1,7.098,17-06-2016,18-06-2016,2016,6,17
59,CA-2016-111682,first class,TB-21055,ted butterfield,consumer,united states,troy,new york,12180,east,OFF-PA-10000587,office supplies,paper,"array parchment paper, assorted colors",14.56,2,0,6.9888,17-06-2016,18-06-2016,2016,6,17
60,CA-2016-111682,first class,TB-21055,ted butterfield,consumer,united states,troy,new york,12180,east,TEC-AC-10002167,technology,accessories,imation 8gb micro traveldrive usb 2.0 flash drive,30,2,0,3.3,17-06-2016,18-06-2016,2016,6,17
61,CA-2016-111682,first class,TB-21055,ted butterfield,consumer,united states,troy,new york,12180,east,OFF-BI-10001460,office supplies,binders,plastic binding combs,48.48,4,0.2,16.362,17-06-2016,18-06-2016,2016,6,17
62,CA-2016-111682,first class,TB-21055,ted butterfield,consumer,united states,troy,new york,12180,east,OFF-AR-10001868,office supplies,art,prang dustless chalk sticks,1.68,1,0,0.84,17-06-2016,18-06-2016,2016,6,17
63,CA-2015-135545,standard class,KM-16720,kunst miller,consumer,united states,los angeles,california,90004,west,TEC-AC-10004633,technology,accessories,"verbatim 25 gb 6x blu-ray single layer recordable disc, 3/pack",13.98,2,0,6.1512,24-11-2015,30-11-2015,2015,11,24
64,CA-2015-135545,standard class,KM-16720,kunst miller,consumer,united states,los angeles,california,90004,west,OFF-BI-10001078,office supplies,binders,"acco presstex data binder with storage hooks, dark blue, 14 7/8"" x 11""",25.824,6,0.2,9.3612,24-11-2015,30-11-2015,2015,11,24
65,CA-2015-135545,standard class,KM-16720,kunst miller,consumer,united states,los angeles,california,90004,west,OFF-PA-10003892,office supplies,paper,xerox 1943,146.73,3,0,68.9631,24-11-2015,30-11-2015,2015,11,24
66,CA-2015-135545,standard class,KM-16720,kunst miller,consumer,united states,los angeles,california,90004,west,FUR-FU-10000397,furniture,furnishings,luxo economy swing arm lamp,79.76,4,0,22.3328,24-11-2015,30-11-2015,2015,11,24
67,US-2015-164175,standard class,PS-18970,paul stevenson,home office,united states,chicago,illinois,60610,central,FUR-CH-10001146,furniture,chairs,"global value mid-back manager's chair, gray",213.115,5,0.3,-15.2225,30-04-2015,05-05-2015,2015,4,30
68,CA-2014-106376,standard class,BS-11590,brendan sweed,corporate,united states,gilbert,arizona,85234,west,OFF-AR-10002671,office supplies,art,"hunt boston model 1606 high-volume electric pencil sharpener, beige",1113.024,8,0.2,111.3024,05-12-2014,10-12-2014,2014,12,5
69,CA-2014-106376,standard class,BS-11590,brendan sweed,corporate,united states,gilbert,arizona,85234,west,TEC-PH-10002726,technology,phones,nettalk duo voip telephone service,167.968,4,0.2,62.988,05-12-2014,10-12-2014,2014,12,5
70,CA-2016-119823,first class,KD-16270,karen daniels,consumer,united states,springfield,virginia,22153,south,OFF-PA-10000482,office supplies,paper,"snap-a-way black print carbonless ruled speed letter, triplicate",75.88,2,0,35.6636,04-06-2016,06-06-2016,2016,6,4
71,CA-2016-106075,standard class,HM-14980,henry macallister,consumer,united states,new york city,new york,10009,east,OFF-BI-10004654,office supplies,binders,avery binding system hidden tab executive style index sets,4.616,1,0.2,1.731,18-09-2016,23-09-2016,2016,9,18
72,CA-2017-114440,second class,TB-21520,tracy blumstein,consumer,united states,jackson,michigan,49201,central,OFF-PA-10004675,office supplies,paper,"telephone message books with fax/mobile section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763,14-09-2017,17-09-2017,2017,9,14
73,US-2015-134026,standard class,JE-15745,joel eaton,consumer,united states,memphis,tennessee,38109,south,FUR-CH-10000513,furniture,chairs,high-back leather manager's chair,831.936,8,0.2,-114.3912,26-04-2015,02-05-2015,2015,4,26
74,US-2015-134026,standard class,JE-15745,joel eaton,consumer,united states,memphis,tennessee,38109,south,FUR-FU-10003708,furniture,furnishings,"tenex traditional chairmats for medium pile carpet, standard lip, 36"" x 48""",97.04,2,0.2,1.213,26-04-2015,02-05-2015,2015,4,26
75,US-2015-134026,standard class,JE-15745,joel eaton,consumer,united states,memphis,tennessee,38109,south,OFF-ST-10004123,office supplies,storage,safco industrial wire shelving system,72.784,1,0.2,-18.196,26-04-2015,02-05-2015,2015,4,26
76,US-2017-118038,first class,KB-16600,ken brennan,corporate,united states,houston,texas,77041,central,OFF-BI-10004182,office supplies,binders,economy binders,1.248,3,0.8,-1.9344,09-12-2017,11-12-2017,2017,12,9
77,US-2017-118038,first class,KB-16600,ken brennan,corporate,united states,houston,texas,77041,central,FUR-FU-10000260,furniture,furnishings,"6"" cubicle wall clock, black",9.708,3,0.6,-5.8248,09-12-2017,11-12-2017,2017,12,9
78,US-2017-118038,first class,KB-16600,ken brennan,corporate,united states,houston,texas,77041,central,OFF-ST-10000615,office supplies,storage,"simplifile personal file, black granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,09-12-2017,11-12-2017,2017,12,9
79,US-2014-147606,second class,JE-15745,joel eaton,consumer,united states,houston,texas,77070,central,FUR-FU-10003194,furniture,furnishings,"eldon expressions desk accessory, wood pencil holder, oak",19.3,5,0.6,-14.475,26-11-2014,01-12-2014,2014,11,26
80,CA-2016-127208,first class,SC-20770,stewart carmichael,corporate,united states,decatur,alabama,35601,south,OFF-AP-10002118,office supplies,appliances,"1.7 cubic foot compact ""cube"" office refrigerators",208.16,1,0,56.2032,12-06-2016,15-06-2016,2016,6,12
81,CA-2016-127208,first class,SC-20770,stewart carmichael,corporate,united states,decatur,alabama,35601,south,OFF-BI-10002309,office supplies,binders,avery heavy-duty ezd  binder with locking rings,16.74,3,0,8.0352,12-06-2016,15-06-2016,2016,6,12
82,CA-2014-139451,standard class,DN-13690,duane noonan,consumer,united states,san francisco,california,94122,west,OFF-AR-10002053,office supplies,art,"premium writing pencils, soft, #2 by central association for the blind",14.9,5,0,4.172,12-10-2014,16-10-2014,2014,10,12
83,CA-2014-139451,standard class,DN-13690,duane noonan,consumer,united states,san francisco,california,94122,west,OFF-ST-10002370,office supplies,storage,"sortfiler multipurpose personal file organizer, black",21.39,1,0,6.2031,12-10-2014,16-10-2014,2014,10,12
84,CA-2015-149734,standard class,JC-16105,julie creighton,corporate,united states,durham,north carolina,27707,south,OFF-EN-10000927,office supplies,envelopes,jet-pak recycled peel 'n' seal padded mailers,200.984,7,0.2,62.8075,03-09-2015,08-09-2015,2015,9,3
85,US-2017-119662,first class,CS-12400,christopher schild,home office,united states,chicago,illinois,60623,central,OFF-ST-10003656,office supplies,storage,safco industrial wire shelving,230.376,3,0.2,-48.9549,13-11-2017,16-11-2017,2017,11,13
86,CA-2017-140088,second class,PO-18865,patrick o'donnell,consumer,united states,columbia,south carolina,29203,south,FUR-CH-10000863,furniture,chairs,novimex swivel fabric task chair,301.96,2,0,33.2156,28-05-2017,30-05-2017,2017,5,28
87,CA-2017-155558,standard class,PG-18895,paul gonzalez,consumer,united states,rochester,minnesota,55901,central,TEC-AC-10001998,technology,accessories,logitech ls21 speaker system - pc multimedia - 2.1-ch - wired,19.99,1,0,6.7966,26-10-2017,02-11-2017,2017,10,26
88,CA-2017-155558,standard class,PG-18895,paul gonzalez,consumer,united states,rochester,minnesota,55901,central,OFF-LA-10000134,office supplies,labels,avery 511,6.16,2,0,2.9568,26-10-2017,02-11-2017,2017,10,26
89,CA-2016-159695,second class,GM-14455,gary mitchum,home office,united states,houston,texas,77095,central,OFF-ST-10003442,office supplies,storage,eldon portable mobile manager,158.368,7,0.2,13.8572,05-04-2016,10-04-2016,2016,4,5
90,CA-2016-109806,standard class,JS-15685,jim sink,corporate,united states,los angeles,california,90036,west,OFF-AR-10004930,office supplies,art,turquoise lead holder with pocket clip,20.1,3,0,6.633,17-09-2016,22-09-2016,2016,9,17
91,CA-2016-109806,standard class,JS-15685,jim sink,corporate,united states,los angeles,california,90036,west,TEC-PH-10004093,technology,phones,panasonic kx-ts550,73.584,2,0.2,8.2782,17-09-2016,22-09-2016,2016,9,17
92,CA-2016-109806,standard class,JS-15685,jim sink,corporate,united states,los angeles,california,90036,west,OFF-PA-10000304,office supplies,paper,xerox 1995,6.48,1,0,3.1104,17-09-2016,22-09-2016,2016,9,17
93,CA-2015-149587,second class,KB-16315,karl braun,consumer,united states,minneapolis,minnesota,55407,central,OFF-PA-10003177,office supplies,paper,xerox 1999,12.96,2,0,6.2208,31-01-2015,05-02-2015,2015,1,31
94,CA-2015-149587,second class,KB-16315,karl braun,consumer,united states,minneapolis,minnesota,55407,central,FUR-FU-10003799,furniture,furnishings,"seth thomas 13 1/2"" wall clock",53.34,3,0,16.5354,31-01-2015,05-02-2015,2015,1,31
95,CA-2015-149587,second class,KB-16315,karl braun,consumer,united states,minneapolis,minnesota,55407,central,OFF-BI-10002852,office supplies,binders,ibico standard transparent covers,32.96,2,0,16.1504,31-01-2015,05-02-2015,2015,1,31
96,US-2017-109484,standard class,RB-19705,roger barcio,home office,united states,portland,oregon,97206,west,OFF-BI-10004738,office supplies,binders,flexible leather- look classic collection ring binder,5.682,1,0.7,-3.788,06-11-2017,12-11-2017,2017,11,6
97,CA-2017-161018,second class,PN-18775,parhena norris,home office,united states,new york city,new york,10009,east,FUR-FU-10000629,furniture,furnishings,9-3/4 diameter round wall clock,96.53,7,0,40.5426,09-11-2017,11-11-2017,2017,11,9
98,CA-2017-157833,first class,KD-16345,katherine ducich,consumer,united states,san francisco,california,94122,west,OFF-BI-10001721,office supplies,binders,trimflex flexible post binders,51.312,3,0.2,17.9592,17-06-2017,20-06-2017,2017,6,17
99,CA-2016-149223,standard class,ER-13855,elpida rittenbach,corporate,united states,saint paul,minnesota,55106,central,OFF-AP-10000358,office supplies,appliances,fellowes basic home/office series surge protectors,77.88,6,0,22.5852,06-09-2016,11-09-2016,2016,9,6
100,CA-2016-158568,standard class,RB-19465,rick bensley,home office,united states,chicago,illinois,60610,central,OFF-PA-10003256,office supplies,paper,avery personal creations heavyweight cards,64.624,7,0.2,22.6184,29-08-2016,02-09-2016,2016,8,29
101,CA-2016-158568,standard class,RB-19465,rick bensley,home office,united states,chicago,illinois,60610,central,TEC-AC-10001767,technology,accessories,sandisk ultra 64 gb microsdhc class 10 memory card,95.976,3,0.2,-10.7973,29-08-2016,02-09-2016,2016,8,29
102,CA-2016-158568,standard class,RB-19465,rick bensley,home office,united states,chicago,illinois,60610,central,OFF-BI-10002609,office supplies,binders,avery hidden tab dividers for binding systems,1.788,3,0.8,-3.0396,29-08-2016,02-09-2016,2016,8,29
103,CA-2016-129903,second class,GZ-14470,gary zandusky,consumer,united states,rochester,minnesota,55901,central,OFF-PA-10004040,office supplies,paper,universal premium white copier/laser paper (20lb. and 87 bright),23.92,4,0,11.7208,01-12-2016,04-12-2016,2016,12,1
104,US-2015-156867,standard class,LC-16870,lena cacioppo,consumer,united states,aurora,colorado,80013,west,TEC-AC-10001552,technology,accessories,logitech k350 2.4ghz wireless keyboard,238.896,6,0.2,-26.8758,13-11-2015,17-11-2015,2015,11,13
105,US-2015-156867,standard class,LC-16870,lena cacioppo,consumer,united states,aurora,colorado,80013,west,FUR-FU-10004006,furniture,furnishings,"deflect-o duramat lighweight, studded, beveled mat for low pile carpeting",102.36,3,0.2,-3.8385,13-11-2015,17-11-2015,2015,11,13
106,US-2015-156867,standard class,LC-16870,lena cacioppo,consumer,united states,aurora,colorado,80013,west,OFF-BI-10002794,office supplies,binders,"avery trapezoid ring binder, 3"" capacity, black, 1040 sheets",36.882,3,0.7,-25.8174,13-11-2015,17-11-2015,2015,11,13
107,CA-2017-119004,standard class,JM-15250,janet martin,consumer,united states,charlotte,north carolina,28205,south,TEC-AC-10003499,technology,accessories,memorex mini travel drive 8 gb usb 2.0 flash drive,74.112,8,0.2,17.6016,23-11-2017,28-11-2017,2017,11,23
108,CA-2017-119004,standard class,JM-15250,janet martin,consumer,united states,charlotte,north carolina,28205,south,TEC-PH-10002844,technology,phones,speck products candyshell flip case,27.992,1,0.2,2.0994,23-11-2017,28-11-2017,2017,11,23
109,CA-2017-119004,standard class,JM-15250,janet martin,consumer,united states,charlotte,north carolina,28205,south,OFF-AR-10000390,office supplies,art,newell chalk holder,3.304,1,0.2,1.0738,23-11-2017,28-11-2017,2017,11,23
110,CA-2015-129476,standard class,PA-19060,pete armstrong,home office,united states,orland park,illinois,60462,central,TEC-AC-10000844,technology,accessories,logitech gaming g510s - keyboard,339.96,5,0.2,67.992,15-10-2015,20-10-2015,2015,10,15
111,CA-2017-146780,standard class,CV-12805,cynthia voltz,corporate,united states,new york city,new york,10035,east,FUR-FU-10001934,furniture,furnishings,magnifier swing arm lamp,41.96,2,0,10.9096,25-12-2017,30-12-2017,2017,12,25
112,CA-2016-128867,standard class,CL-12565,clay ludtke,consumer,united states,urbandale,iowa,50322,central,OFF-AR-10000380,office supplies,art,"hunt powerhouse electric pencil sharpener, blue",75.96,2,0,22.788,03-11-2016,10-11-2016,2016,11,3
113,CA-2016-128867,standard class,CL-12565,clay ludtke,consumer,united states,urbandale,iowa,50322,central,OFF-BI-10003981,office supplies,binders,"avery durable plastic 1"" binders",27.24,6,0,13.3476,03-11-2016,10-11-2016,2016,11,3
114,CA-2014-115259,second class,RC-19960,ryan crowe,consumer,united states,columbus,ohio,43229,east,OFF-FA-10000621,office supplies,fasteners,"oic colored binder clips, assorted sizes",40.096,14,0.2,14.5348,25-08-2014,27-08-2014,2014,8,25
115,CA-2014-115259,second class,RC-19960,ryan crowe,consumer,united states,columbus,ohio,43229,east,OFF-EN-10002600,office supplies,envelopes,"redi-strip #10 envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.652,25-08-2014,27-08-2014,2014,8,25
